ML Method,Encoding Method,Metric,Value
DecisionTree,frequency,Average MCC,0.24
GaussianNB,frequency,Average MCC,0.21
KNN,frequency,Average MCC,0.32
LogisticRegression,frequency,Average MCC,0.13
MLP,frequency,Average MCC,0.11
NeuralNetwork,frequency,Average MCC,0.11
RandomForest,frequency,Average MCC,0.27
SVM,frequency,Average MCC,0.19
AdaBoost_SAMME,hashing,Average F1 score,0.4
DecisionTree,hashing,Average F1 score,0.47
GaussianNB,hashing,Average F1 score,0.36
KNN,hashing,Average F1 score,0.46
LogisticRegression,hashing,Average F1 score,0.42
MLP,hashing,Average F1 score,0.39
NeuralNetwork,hashing,Average F1 score,0.42
RandomForest,hashing,Average F1 score,0.46
SVM,hashing,Average F1 score,0.37
AdaBoost_SAMME,hashing,Average Accuracy,0.52
DecisionTree,hashing,Average Accuracy,0.56
GaussianNB,hashing,Average Accuracy,0.37
KNN,hashing,Average Accuracy,0.51
LogisticRegression,hashing,Average Accuracy,0.54
MLP,hashing,Average Accuracy,0.52
NeuralNetwork,hashing,Average Accuracy,0.55
RandomForest,hashing,Average Accuracy,0.55
SVM,hashing,Average Accuracy,0.53
AdaBoost_SAMME,hashing,Average Precision,0.34
DecisionTree,hashing,Average Precision,0.46
GaussianNB,hashing,Average Precision,0.44
KNN,hashing,Average Precision,0.47
LogisticRegression,hashing,Average Precision,0.39
MLP,hashing,Average Precision,0.32
NeuralNetwork,hashing,Average Precision,0.4
RandomForest,hashing,Average Precision,0.45
SVM,hashing,Average Precision,0.29
AdaBoost_SAMME,hashing,Average Recall,0.52
DecisionTree,hashing,Average Recall,0.56
GaussianNB,hashing,Average Recall,0.37
KNN,hashing,Average Recall,0.51
LogisticRegression,hashing,Average Recall,0.54
MLP,hashing,Average Recall,0.52
NeuralNetwork,hashing,Average Recall,0.55
RandomForest,hashing,Average Recall,0.55
SVM,hashing,Average Recall,0.53
AdaBoost_SAMME,hashing,Average MCC,0.12
DecisionTree,hashing,Average MCC,0.22
GaussianNB,hashing,Average MCC,0.19
KNN,hashing,Average MCC,0.18
LogisticRegression,hashing,Average MCC,0.15
MLP,hashing,Average MCC,0.05
NeuralNetwork,hashing,Average MCC,0.14
RandomForest,hashing,Average MCC,0.2
SVM,hashing,Average MCC,0.06
AdaBoost_SAMME,helmert,Average F1 score,0.45
DecisionTree,helmert,Average F1 score,0.5
GaussianNB,helmert,Average F1 score,0.37
KNN,helmert,Average F1 score,0.5
LogisticRegression,helmert,Average F1 score,0.47
MLP,helmert,Average F1 score,0.48
NeuralNetwork,helmert,Average F1 score,0.48
RandomForest,helmert,Average F1 score,0.51
SVM,helmert,Average F1 score,0.49
AdaBoost_SAMME,helmert,Average Accuracy,0.51
DecisionTree,helmert,Average Accuracy,0.55
GaussianNB,helmert,Average Accuracy,0.37
KNN,helmert,Average Accuracy,0.54
LogisticRegression,helmert,Average Accuracy,0.53
MLP,helmert,Average Accuracy,0.56
NeuralNetwork,helmert,Average Accuracy,0.54
RandomForest,helmert,Average Accuracy,0.56
SVM,helmert,Average Accuracy,0.55
AdaBoost_SAMME,helmert,Average Precision,0.45
DecisionTree,helmert,Average Precision,0.5
GaussianNB,helmert,Average Precision,0.49
KNN,helmert,Average Precision,0.49
LogisticRegression,helmert,Average Precision,0.47
MLP,helmert,Average Precision,0.52
NeuralNetwork,helmert,Average Precision,0.44
RandomForest,helmert,Average Precision,0.5
SVM,helmert,Average Precision,0.48
AdaBoost_SAMME,helmert,Average Recall,0.51
DecisionTree,helmert,Average Recall,0.55
GaussianNB,helmert,Average Recall,0.37
KNN,helmert,Average Recall,0.54
LogisticRegression,helmert,Average Recall,0.53
MLP,helmert,Average Recall,0.56
NeuralNetwork,helmert,Average Recall,0.54
RandomForest,helmert,Average Recall,0.56
SVM,helmert,Average Recall,0.55
AdaBoost_SAMME,helmert,Average MCC,0.19
DecisionTree,helmert,Average MCC,0.25
GaussianNB,helmert,Average MCC,0.2
KNN,helmert,Average MCC,0.25
LogisticRegression,helmert,Average MCC,0.2
MLP,helmert,Average MCC,0.25
NeuralNetwork,helmert,Average MCC,0.21
RandomForest,helmert,Average MCC,0.26
SVM,helmert,Average MCC,0.23
AdaBoost_SAMME,jamesstein,Average F1 score,0.47
DecisionTree,jamesstein,Average F1 score,0.51
GaussianNB,jamesstein,Average F1 score,0.39
KNN,jamesstein,Average F1 score,0.51
LogisticRegression,jamesstein,Average F1 score,0.46
MLP,jamesstein,Average F1 score,0.37
NeuralNetwork,jamesstein,Average F1 score,0.43
RandomForest,jamesstein,Average F1 score,0.52
SVM,jamesstein,Average F1 score,0.49
AdaBoost_SAMME,jamesstein,Average Accuracy,0.54
DecisionTree,jamesstein,Average Accuracy,0.56
GaussianNB,jamesstein,Average Accuracy,0.4
KNN,jamesstein,Average Accuracy,0.55
LogisticRegression,jamesstein,Average Accuracy,0.55
MLP,jamesstein,Average Accuracy,0.53
NeuralNetwork,jamesstein,Average Accuracy,0.54
RandomForest,jamesstein,Average Accuracy,0.57
SVM,jamesstein,Average Accuracy,0.55
AdaBoost_SAMME,jamesstein,Average Precision,0.47
DecisionTree,jamesstein,Average Precision,0.5
GaussianNB,jamesstein,Average Precision,0.47
KNN,jamesstein,Average Precision,0.5
LogisticRegression,jamesstein,Average Precision,0.43
MLP,jamesstein,Average Precision,0.28
NeuralNetwork,jamesstein,Average Precision,0.39
RandomForest,jamesstein,Average Precision,0.52
SVM,jamesstein,Average Precision,0.5
AdaBoost_SAMME,jamesstein,Average Recall,0.54
DecisionTree,jamesstein,Average Recall,0.56
GaussianNB,jamesstein,Average Recall,0.4
KNN,jamesstein,Average Recall,0.55
LogisticRegression,jamesstein,Average Recall,0.55
MLP,jamesstein,Average Recall,0.53
NeuralNetwork,jamesstein,Average Recall,0.54
RandomForest,jamesstein,Average Recall,0.57
SVM,jamesstein,Average Recall,0.55
AdaBoost_SAMME,jamesstein,Average MCC,0.23
DecisionTree,jamesstein,Average MCC,0.26
GaussianNB,jamesstein,Average MCC,0.2
KNN,jamesstein,Average MCC,0.28
LogisticRegression,jamesstein,Average MCC,0.24
MLP,jamesstein,Average MCC,0.0
NeuralNetwork,jamesstein,Average MCC,0.18
RandomForest,jamesstein,Average MCC,0.29
SVM,jamesstein,Average MCC,0.26
AdaBoost_SAMME,label,Average F1 score,0.48
DecisionTree,label,Average F1 score,0.5
GaussianNB,label,Average F1 score,0.39
KNN,label,Average F1 score,0.55
LogisticRegression,label,Average F1 score,0.41
MLP,label,Average F1 score,0.41
NeuralNetwork,label,Average F1 score,0.43
RandomForest,label,Average F1 score,0.52
SVM,label,Average F1 score,0.47
AdaBoost_SAMME,label,Average Accuracy,0.54
DecisionTree,label,Average Accuracy,0.56
GaussianNB,label,Average Accuracy,0.37
KNN,label,Average Accuracy,0.58
